dates,US
2020-01-25,
2020-02-01,0.0018252146134493871
2020-02-08,0.0012168097422995913
2020-02-15,0.0006084048711497956
2020-02-22,0.0006084048711497956
2020-02-29,0.003042024355748979
2020-03-07,0.11894315230978506
2020-03-14,0.7711531741823662
2020-03-21,7.028293071522441
2020-03-28,30.83426307230722
2020-04-04,59.00371280897835
2020-04-11,67.6847377129792
2020-04-18,60.688690099627706
2020-04-25,62.94526376672229
2020-05-02,58.69585994417654
2020-05-09,53.79759232654954
2020-05-16,47.8431338526065
2020-05-23,47.19183643804063
2020-05-30,44.97237546808618
2020-06-06,44.26419219806781
2020-06-13,44.67121505686703
2020-06-20,55.25837242218019
2020-06-27,78.7817383603159
2020-07-04,103.05557170701486
2020-07-11,122.38763648779964
2020-07-18,141.34674908256957
2020-07-25,141.81704604796838
2020-08-01,133.85850192845788
2020-08-08,114.22801455837416
2020-08-15,111.10050931822865
2020-08-22,91.48705728453709
2020-08-29,88.48518765028399
2020-09-05,88.03527224806871
2020-09-12,73.20418670405014
2020-09-19,86.08381362385575
2020-09-26,94.0742989991016
2020-10-03,92.47693200989781
2020-10-10,103.90247128765542
2020-10-17,118.8205587282484
2020-10-24,147.46456426441634
2020-10-31,172.41190180347812
2020-11-07,246.46298808816883
2020-11-14,315.5397561463388
2020-11-21,367.746065532396
2020-11-28,352.91984722734657
2020-12-05,418.2959926567479
2020-12-12,461.5404982907687
2020-12-19,467.8250164073105
2020-12-26,406.0996044072435
2021-01-02,445.7663851964679
2021-01-09,524.4550376114978
2021-01-16,476.26815500669176
2021-01-23,372.1618680872011
2021-01-30,321.9070173253569
2021-02-06,257.9755292625008
2021-02-13,201.38322916032467
2021-02-20,143.74629789438438
2021-02-27,146.39346748875712
2021-03-06,129.45365066133334
2021-03-13,115.21758508129929
2021-03-20,117.61348346388719
2021-03-27,132.03359151744408
2021-04-03,138.0549745272136
2021-04-10,145.9718429130503
2021-04-17,144.6570799864956
2021-04-24,126.99386976727472
2021-05-01,105.85605932891735
2021-05-08,89.50426580945991
2021-05-15,72.12061762853236
2021-05-22,55.08315181928904
2021-05-29,44.67577809340065
2021-06-05,31.1241679934101
2021-06-12,30.53006063673233
2021-06-19,24.70640921008648
2021-06-26,26.32598297708724
2021-07-03,27.456703430119127
2021-07-10,40.589730978758624
2021-07-17,67.84079356242911
2021-07-24,110.30745356868485
2021-07-31,167.16684340929575
2021-08-07,236.1413994491125
2021-08-14,275.42975240848176
2021-08-21,316.7322296937923
2021-08-28,331.10701158444857
2021-09-04,349.83310511356814
2021-09-11,312.28722370517187
2021-09-18,314.1407291451298
2021-09-25,256.31732178618205
2021-10-02,230.25994955970745
2021-10-09,200.82106305938225
2021-10-16,182.1405998955989
2021-10-23,155.36439731386085
2021-10-30,122.0
2021-11-06,105.0
2021-11-13,61.0
2021-11-20,47.0
