fips,name,type,state,CBSA
01,Alabama,state,,
02,Alaska,state,,
04,Arizona,state,,
05,Arkansas,state,,
06,California,state,,
08,Colorado,state,,
09,Connecticut,state,,
10,Delaware,state,,
11,District of Columbia,state,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
12,Florida,state,,
13,Georgia,state,,
15,Hawaii,state,,
16,Idaho,state,,
17,Illinois,state,,
18,Indiana,state,,
19,Iowa,state,,
20,Kansas,state,,
21,Kentucky,state,,
22,Louisiana,state,,
23,Maine,state,,
24,Maryland,state,,
25,Massachusetts,state,,
26,Michigan,state,,
27,Minnesota,state,,
28,Mississippi,state,,
29,Missouri,state,,
30,Montana,state,,
31,Nebraska,state,,
32,Nevada,state,,
33,New Hampshire,state,,
34,New Jersey,state,,
35,New Mexico,state,,
36,New York,state,,
37,North Carolina,state,,
38,North Dakota,state,,
39,Ohio,state,,
40,Oklahoma,state,,
41,Oregon,state,,
42,Pennsylvania,state,,
44,Rhode Island,state,,
45,South Carolina,state,,
46,South Dakota,state,,
47,Tennessee,state,,
48,Texas,state,,
US,US,country,,
49,Utah,state,,
50,Vermont,state,,
51,Virginia,state,,
53,Washington,state,,
54,West Virginia,state,,
55,Wisconsin,state,,
56,Wyoming,state,,
45001,Abbeville,county,South Carolina,
22001,Acadia,county,Louisiana,"Lafayette, LA"
51001,Accomack,county,Virginia,
16001,Ada,county,Idaho,"Boise City, ID"
19001,Adair,county,Iowa,
21001,Adair,county,Kentucky,
29001,Adair,county,Missouri,"Kirksville, MO"
40001,Adair,county,Oklahoma,
08001,Adams,county,Colorado,"Denver-Aurora-Lakewood, CO"
16003,Adams,county,Idaho,
17001,Adams,county,Illinois,"Quincy, IL-MO"
18001,Adams,county,Indiana,"Decatur, IN"
19003,Adams,county,Iowa,
28001,Adams,county,Mississippi,"Natchez, MS-LA"
31001,Adams,county,Nebraska,"Hastings, NE"
38001,Adams,county,North Dakota,
39001,Adams,county,Ohio,
42001,Adams,county,Pennsylvania,"Gettysburg, PA"
53001,Adams,county,Washington,"Othello, WA"
55001,Adams,county,Wisconsin,
50001,Addison,county,Vermont,
45003,Aiken,county,South Carolina,"Augusta-Richmond County, GA-SC"
27001,Aitkin,county,Minnesota,
12001,Alachua,county,Florida,"Gainesville, FL"
37001,Alamance,county,North Carolina,"Burlington, NC"
06001,Alameda,county,California,"San Francisco-Oakland-Berkeley, CA"
08003,Alamosa,county,Colorado,
36001,Albany,county,New York,"Albany-Schenectady-Troy, NY"
56001,Albany,county,Wyoming,"Laramie, WY"
51003,Albemarle,county,Virginia,"Charlottesville, VA"
26001,Alcona,county,Michigan,
28003,Alcorn,county,Mississippi,"Corinth, MS"
02013,Aleutians East,county,Alaska,
02016,Aleutians West,county,Alaska,
17003,Alexander,county,Illinois,"Cape Girardeau, MO-IL"
37003,Alexander,county,North Carolina,"Hickory-Lenoir-Morganton, NC"
51510,Alexandria,county,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
40003,Alfalfa,county,Oklahoma,
26003,Alger,county,Michigan,
19005,Allamakee,county,Iowa,
26005,Allegan,county,Michigan,"Holland, MI"
24001,Allegany,county,Maryland,"Cumberland, MD-WV"
36003,Allegany,county,New York,
37005,Alleghany,county,North Carolina,
51005,Alleghany,county,Virginia,
42003,Allegheny,county,Pennsylvania,"Pittsburgh, PA"
18003,Allen,county,Indiana,"Fort Wayne, IN"
20001,Allen,county,Kansas,
21003,Allen,county,Kentucky,"Bowling Green, KY"
22003,Allen,county,Louisiana,
39003,Allen,county,Ohio,"Lima, OH"
45005,Allendale,county,South Carolina,
26007,Alpena,county,Michigan,"Alpena, MI"
06003,Alpine,county,California,
06005,Amador,county,California,
51007,Amelia,county,Virginia,"Richmond, VA"
51009,Amherst,county,Virginia,"Lynchburg, VA"
28005,Amite,county,Mississippi,
02020,Anchorage,county,Alaska,"Anchorage, AK"
20003,Anderson,county,Kansas,
21005,Anderson,county,Kentucky,"Frankfort, KY"
45007,Anderson,county,South Carolina,"Greenville-Anderson, SC"
47001,Anderson,county,Tennessee,"Knoxville, TN"
48001,Anderson,county,Texas,"Palestine, TX"
29003,Andrew,county,Missouri,"St. Joseph, MO-KS"
48003,Andrews,county,Texas,"Andrews, TX"
23001,Androscoggin,county,Maine,"Lewiston-Auburn, ME"
48005,Angelina,county,Texas,"Lufkin, TX"
24003,Anne Arundel,county,Maryland,"Baltimore-Columbia-Towson, MD"
27003,Anoka,county,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI"
37007,Anson,county,North Carolina,"Charlotte-Concord-Gastonia, NC-SC"
31003,Antelope,county,Nebraska,
26009,Antrim,county,Michigan,
04001,Apache,county,Arizona,
19007,Appanoose,county,Iowa,
13001,Appling,county,Georgia,
51011,Appomattox,county,Virginia,"Lynchburg, VA"
48007,Aransas,county,Texas,"Rockport, TX"
08005,Arapahoe,county,Colorado,"Denver-Aurora-Lakewood, CO"
48009,Archer,county,Texas,"Wichita Falls, TX"
08007,Archuleta,county,Colorado,
26011,Arenac,county,Michigan,
05001,Arkansas,county,Arkansas,
51013,Arlington,county,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
42005,Armstrong,county,Pennsylvania,"Pittsburgh, PA"
48011,Armstrong,county,Texas,"Amarillo, TX"
23003,Aroostook,county,Maine,
31005,Arthur,county,Nebraska,
22005,Ascension,county,Louisiana,"Baton Rouge, LA"
37009,Ashe,county,North Carolina,
39005,Ashland,county,Ohio,"Ashland, OH"
55003,Ashland,county,Wisconsin,
05003,Ashley,county,Arkansas,
39007,Ashtabula,county,Ohio,"Ashtabula, OH"
53003,Asotin,county,Washington,"Lewiston, ID-WA"
22007,Assumption,county,Louisiana,"Baton Rouge, LA"
48013,Atascosa,county,Texas,"San Antonio-New Braunfels, TX"
20005,Atchison,county,Kansas,"Atchison, KS"
29005,Atchison,county,Missouri,
39009,Athens,county,Ohio,"Athens, OH"
13003,Atkinson,county,Georgia,"Douglas, GA"
34001,Atlantic,county,New Jersey,"Atlantic City-Hammonton, NJ"
40005,Atoka,county,Oklahoma,
28007,Attala,county,Mississippi,
29007,Audrain,county,Missouri,"Mexico, MO"
19009,Audubon,county,Iowa,
39011,Auglaize,county,Ohio,"Wapakoneta, OH"
51015,Augusta,county,Virginia,"Staunton, VA"
46003,Aurora,county,South Dakota,
48015,Austin,county,Texas,"Houston-The Woodlands-Sugar Land, TX"
01001,Autauga,county,Alabama,"Montgomery, AL"
37011,Avery,county,North Carolina,
22009,Avoyelles,county,Louisiana,
08009,Baca,county,Colorado,
13005,Bacon,county,Georgia,
48017,Bailey,county,Texas,
12003,Baker,county,Florida,"Jacksonville, FL"
13007,Baker,county,Georgia,
41001,Baker,county,Oregon,
01003,Baldwin,county,Alabama,"Daphne-Fairhope-Foley, AL"
13009,Baldwin,county,Georgia,"Milledgeville, GA"
21007,Ballard,county,Kentucky,"Paducah, KY-IL"
24510,Baltimore City,county,Maryland,"Baltimore-Columbia-Towson, MD"
24005,Baltimore,county,Maryland,"Baltimore-Columbia-Towson, MD"
45009,Bamberg,county,South Carolina,
48019,Bandera,county,Texas,"San Antonio-New Braunfels, TX"
13011,Banks,county,Georgia,
31007,Banner,county,Nebraska,"Scottsbluff, NE"
16005,Bannock,county,Idaho,"Pocatello, ID"
26013,Baraga,county,Michigan,
20007,Barber,county,Kansas,
01005,Barbour,county,Alabama,"Eufaula, AL-GA"
54001,Barbour,county,West Virginia,
38003,Barnes,county,North Dakota,
25001,Barnstable,county,Massachusetts,"Barnstable Town, MA"
45011,Barnwell,county,South Carolina,
21009,Barren,county,Kentucky,"Glasgow, KY"
55005,Barron,county,Wisconsin,
13013,Barrow,county,Georgia,"Atlanta-Sandy Springs-Alpharetta, GA"
26015,Barry,county,Michigan,
29009,Barry,county,Missouri,
18005,Bartholomew,county,Indiana,"Columbus, IN"
20009,Barton,county,Kansas,"Great Bend, KS"
29011,Barton,county,Missouri,
13015,Bartow,county,Georgia,"Atlanta-Sandy Springs-Alpharetta, GA"
48021,Bastrop,county,Texas,"Austin-Round Rock-Georgetown, TX"
29013,Bates,county,Missouri,"Kansas City, MO-KS"
21011,Bath,county,Kentucky,"Mount Sterling, KY"
51017,Bath,county,Virginia,
05005,Baxter,county,Arkansas,"Mountain Home, AR"
12005,Bay,county,Florida,"Panama City, FL"
26017,Bay,county,Michigan,"Bay City, MI"
55007,Bayfield,county,Wisconsin,
48023,Baylor,county,Texas,
46005,Beadle,county,South Dakota,"Huron, SD"
16007,Bear Lake,county,Idaho,
37013,Beaufort,county,North Carolina,"Washington, NC"
45013,Beaufort,county,South Carolina,"Hilton Head Island-Bluffton, SC"
22011,Beauregard,county,Louisiana,"DeRidder, LA"
40007,Beaver,county,Oklahoma,
42007,Beaver,county,Pennsylvania,"Pittsburgh, PA"
49001,Beaver,county,Utah,
30001,Beaverhead,county,Montana,
27005,Becker,county,Minnesota,
40009,Beckham,county,Oklahoma,"Elk City, OK"
42009,Bedford,county,Pennsylvania,
47003,Bedford,county,Tennessee,"Shelbyville, TN"
51019,Bedford,county,Virginia,"Lynchburg, VA"
48025,Bee,county,Texas,"Beeville, TX"
33001,Belknap,county,New Hampshire,"Laconia, NH"
21013,Bell,county,Kentucky,"Middlesborough, KY"
48027,Bell,county,Texas,"Killeen-Temple, TX"
39013,Belmont,county,Ohio,"Wheeling, WV-OH"
27007,Beltrami,county,Minnesota,"Bemidji, MN"
13017,Ben Hill,county,Georgia,"Fitzgerald, GA"
16009,Benewah,county,Idaho,
46007,Bennett,county,South Dakota,
50003,Bennington,county,Vermont,"Bennington, VT"
38005,Benson,county,North Dakota,
08011,Bent,county,Colorado,
05007,Benton,county,Arkansas,"Fayetteville-Springdale-Rogers, AR"
18007,Benton,county,Indiana,"Lafayette-West Lafayette, IN"
19011,Benton,county,Iowa,"Cedar Rapids, IA"
27009,Benton,county,Minnesota,"St. Cloud, MN"
28009,Benton,county,Mississippi,
29015,Benton,county,Missouri,
41003,Benton,county,Oregon,"Corvallis, OR"
47005,Benton,county,Tennessee,
53005,Benton,county,Washington,"Kennewick-Richland, WA"
26019,Benzie,county,Michigan,"Traverse City, MI"
34003,Bergen,county,New Jersey,"New York-Newark-Jersey City, NY-NJ-PA"
45015,Berkeley,county,South Carolina,"Charleston-North Charleston, SC"
54003,Berkeley,county,West Virginia,"Hagerstown-Martinsburg, MD-WV"
42011,Berks,county,Pennsylvania,"Reading, PA"
25003,Berkshire,county,Massachusetts,"Pittsfield, MA"
35001,Bernalillo,county,New Mexico,"Albuquerque, NM"
13019,Berrien,county,Georgia,
26021,Berrien,county,Michigan,"Niles, MI"
37015,Bertie,county,North Carolina,
02050,Bethel,county,Alaska,
48029,Bexar,county,Texas,"San Antonio-New Braunfels, TX"
01007,Bibb,county,Alabama,"Birmingham-Hoover, AL"
13021,Bibb,county,Georgia,"Macon-Bibb County, GA"
22013,Bienville,county,Louisiana,
30003,Big Horn,county,Montana,
56003,Big Horn,county,Wyoming,
27011,Big Stone,county,Minnesota,
38007,Billings,county,North Dakota,"Dickinson, ND"
16011,Bingham,county,Idaho,"Blackfoot, ID"
19013,Black Hawk,county,Iowa,"Waterloo-Cedar Falls, IA"
18009,Blackford,county,Indiana,
37017,Bladen,county,North Carolina,
16013,Blaine,county,Idaho,"Hailey, ID"
30005,Blaine,county,Montana,
31009,Blaine,county,Nebraska,
40011,Blaine,county,Oklahoma,
42013,Blair,county,Pennsylvania,"Altoona, PA"
48031,Blanco,county,Texas,
