dates,US
2020-01-25,
2020-02-01,0.0018252146134493871
2020-02-08,0.0012168097422995913
2020-02-15,0.0006084048711497956
2020-02-22,0.0006084048711497956
2020-02-29,0.003042024355748979
2020-03-07,0.11894315230978506
2020-03-14,0.7711531741823662
2020-03-21,7.028293071522441
2020-03-28,30.83426307230722
2020-04-04,58.94926057301043
2020-04-11,67.8435313843493
2020-04-18,60.5965167616485
2020-04-25,63.0021496221748
2020-05-02,58.800505582014296
2020-05-09,53.591951480100896
2020-05-16,47.81666824071146
2020-05-23,47.09601267083453
2020-05-30,44.92796191249224
2020-06-06,44.25993336396977
2020-06-13,44.64383683766529
2020-06-20,55.30248177533856
2020-06-27,78.76713664340829
2020-07-04,103.2140611759494
2020-07-11,122.23644787731892
2020-07-18,141.36226340678385
2020-07-25,142.06436262809075
2020-08-01,133.8302111019494
2020-08-08,114.26056421898066
2020-08-15,111.0375394140646
2020-08-22,91.47762700903426
2020-08-29,88.5454197325278
2020-09-05,88.11923212028739
2020-09-12,73.2458624377239
2020-09-19,86.18845926169351
2020-09-26,94.1430487495415
2020-10-03,92.80607904518983
2020-10-10,103.64207400280328
2020-10-17,118.90786482725836
2020-10-24,147.59050407274432
2020-10-31,172.51746004862258
2020-11-07,246.69144411728558
2020-11-14,315.8649485499683
2020-11-21,368.0971151430494
2020-11-28,353.1483032564633
2020-12-05,418.71913824463263
2020-12-12,461.9475211495678
2020-12-19,468.1188759600759
2020-12-26,406.2288904423629
2021-01-02,446.1277776899309
2021-01-09,524.7841846467899
2021-01-16,476.5863507543031
2021-01-23,372.36081648006723
2021-01-30,322.10109847925366
2021-02-06,258.06313956394644
2021-02-13,201.53624298541885
2021-02-20,143.77002568435918
2021-02-27,146.8141794571572
2021-03-06,129.36634456232338
2021-03-13,115.28390121225462
2021-03-20,117.75676281104296
2021-03-27,131.60497028571902
2021-04-03,139.12576710043723
2021-04-10,145.9624126375475
2021-04-17,144.89527049355075
2021-04-24,126.96284111884609
2021-05-01,106.226273693012
2021-05-08,89.71355708513542
2021-05-15,72.25112047339398
2021-05-22,55.20787481787475
2021-05-29,44.78711618482106
2021-06-05,31.279311235553298
2021-06-12,30.62892642829417
2021-06-19,24.75508159977846
2021-06-26,26.41207226635493
2021-07-03,27.50720103442457
2021-07-10,40.6542218951005
2021-07-17,68.02027299941831
2021-07-24,110.27247028859374
2021-07-31,167.415681001596
2021-08-07,236.7583219884584
2021-08-14,275.772284350939
2021-08-21,317.06563556318235
2021-08-28,331.43342079782036
2021-09-04,351.4055275030548
2021-09-11,312.72679622457764
2021-09-18,314.3862205106387
2021-09-25,256.56646358091785
2021-10-02,230.447034057586
2021-10-09,201.06472921027776
2021-10-16,182.3383314787226
2021-10-23,155.5082850658878
2021-10-30,153.98514347096423
2021-11-06,156.03942251840158
2021-11-13,171.7867657983717
2021-11-20,197.14416822058845
2021-11-27,213.0
2021-12-04,238.0
2021-12-11,201.0
2021-12-18,190.0
