dates,US
2020-01-25,
2020-02-01,0.0018252146134493871
2020-02-08,0.0012168097422995913
2020-02-15,0.0006084048711497956
2020-02-22,0.0006084048711497956
2020-02-29,0.003042024355748979
2020-03-07,0.11894315230978506
2020-03-14,0.7708489717467912
2020-03-21,7.028293071522441
2020-03-28,30.83304626256492
2020-04-04,59.00523382115622
2020-04-11,67.6847377129792
2020-04-18,60.688690099627706
2020-04-25,62.94526376672229
2020-05-02,58.69585994417654
2020-05-09,53.79759232654954
2020-05-16,47.842525447735326
2020-05-23,47.19122803316947
2020-05-30,44.97267967052174
2020-06-06,44.26419219806781
2020-06-13,44.670910854431455
2020-06-20,55.258676624615774
2020-06-27,78.78234676518704
2020-07-04,103.05618011188602
2020-07-11,122.3867238804929
2020-07-18,141.35161632153876
2020-07-25,141.81917546501737
2020-08-01,133.86184815524922
2020-08-08,114.22831876080973
2020-08-15,111.09777149630844
2020-08-22,91.48644887966593
2020-08-29,88.48062461375036
2020-09-05,88.03557645050431
2020-09-12,73.20357829917899
2020-09-19,86.08381362385575
2020-09-26,94.07460320153716
2020-10-03,92.47693200989781
2020-10-10,103.9021670852198
2020-10-17,118.8205587282484
2020-10-24,147.46182644249615
2020-10-31,172.411293398607
2020-11-07,246.45629563458616
2020-11-14,315.5537494583752
2020-11-21,367.746065532396
2020-11-28,352.9241060614446
2020-12-05,418.3118111833978
2020-12-12,461.53258902744363
2020-12-19,467.8113272977097
2020-12-26,406.09595397801667
2021-01-02,445.77216504274384
2021-01-09,524.4538208017556
2021-01-16,476.26602558964277
2021-01-23,372.1676479334771
2021-01-30,321.9058005156146
2021-02-06,257.97522506006527
2021-02-13,201.38109974327568
2021-02-20,143.7466020968199
2021-02-27,146.3922506790148
2021-03-06,129.4545632686401
2021-03-13,115.21758508129929
2021-03-20,117.60466159325551
2021-03-27,132.0454554124315
2021-04-03,138.05679974182704
2021-04-10,145.97214711548588
2021-04-17,144.65586317675331
2021-04-24,126.99417396971032
2021-05-01,105.85514672161064
2021-05-08,89.50426580945991
2021-05-15,72.12061762853236
2021-05-22,55.08193500954675
2021-05-29,44.6751696885295
2021-06-05,31.123255386103374
2021-06-12,30.53006063673233
2021-06-19,24.704888197908605
2021-06-26,26.324157762473785
2021-07-03,27.45852864473258
2021-07-10,40.589730978758624
2021-07-17,67.84048935999354
2021-07-24,110.2995443053599
2021-07-31,167.1604551581487
2021-08-07,236.11158761042614
2021-08-14,275.40359099902224
2021-08-21,316.7057640818973
2021-08-28,331.06624845808153
2021-09-04,349.70959892472473
2021-09-11,311.31134229184767
2021-09-18,313.0382995186063
2021-09-25,288.0
2021-10-02,235.0
2021-10-09,187.0
2021-10-16,151.0
