dates,US
2020-01-25,
2020-02-01,0.0018252146134493871
2020-02-08,0.0012168097422995913
2020-02-15,0.0006084048711497956
2020-02-22,0.0006084048711497956
2020-02-29,0.0027378219201740807
2020-03-07,0.1152927230828863
2020-03-14,0.7863632959611109
2020-03-21,7.021904820375368
2020-03-28,30.098093178215972
2020-04-04,59.7724323636761
2020-04-11,67.75409586829028
2020-04-18,60.65674884389232
2020-04-25,62.9814638565557
2020-05-02,58.61889672797609
2020-05-09,53.819494901910936
2020-05-16,47.80450014328848
2020-05-23,47.15137751410917
2020-05-30,44.83426756233518
2020-06-06,44.40108329407651
2020-06-13,45.09618585936516
2020-06-20,55.324688553135516
2020-06-27,78.45350393233058
2020-07-04,101.58931596754385
2020-07-11,123.26708572904668
2020-07-18,141.19099743555526
2020-07-25,141.2466664812654
2020-08-01,134.53748176466104
2020-08-08,114.71352164555168
2020-08-15,109.8237716961208
2020-08-22,92.5277338166388
2020-08-29,88.59348371734865
2020-09-05,88.34707974453299
2020-09-12,73.32252145148878
2020-09-19,86.37098072303844
2020-09-26,94.10076461099659
2020-10-03,92.10671764580314
2020-10-10,103.8525820882211
2020-10-17,118.80504440403405
2020-10-24,147.0383766521759
2020-10-31,172.12230108481083
2020-11-07,245.4183569244046
2020-11-14,315.13303748997515
2020-11-21,366.706301607601
2020-11-28,351.6893483754462
2020-12-05,414.85850513475157
2020-12-12,459.9772019743492
2020-12-19,462.92492357507
2020-12-26,405.46808015099
2021-01-02,442.33589433048974
2021-01-09,522.6495961563609
2021-01-16,476.3314291132914
2021-01-23,376.0839500890683
2021-01-30,323.17280365978405
2021-02-06,257.573982047542
2021-02-13,201.78812260207485
2021-02-20,143.8682830710499
2021-02-27,145.96028322049847
2021-03-06,129.76150352613516
2021-03-13,115.15461517713527
2021-03-20,117.34213489135435
2021-03-27,131.89304999220846
2021-04-03,137.79609825453934
2021-04-10,145.25635878457814
2021-04-17,145.0631902379881
2021-04-24,126.92116538517232
2021-05-01,105.6400755996592
2021-05-08,89.63933169085514
2021-05-15,72.06738220230675
2021-05-22,54.919490908949754
2021-05-29,44.628322513450954
2021-06-05,31.114129313036127
2021-06-12,30.40320822109759
2021-06-19,24.566476089722034
2021-06-26,25.3835638316762
2021-07-03,28.16214887821732
2021-07-10,40.680687506995504
2021-07-17,66.96347373823112
2021-07-24,110.3254015123838
2021-07-31,166.6025478913043
2021-08-07,231.58657638124959
2021-08-14,274.0036513905066
2021-08-21,315.1695417822441
2021-08-28,329.7736923093238
2021-09-04,348.61964159805984
2021-09-11,354.0
2021-09-18,320.0
2021-09-25,283.0
2021-10-02,161.0
