dates,US
2020-01-25,
2020-02-01,0.0018252146134493871
2020-02-08,0.0012168097422995913
2020-02-15,0.0006084048711497956
2020-02-22,0.0006084048711497956
2020-02-29,0.0027378219201740807
2020-03-07,0.1149885206473114
2020-03-14,0.7833212716053619
2020-03-21,7.010953532694671
2020-03-28,30.04546615686151
2020-04-04,57.34550533265957
2020-04-11,66.7201117897712
2020-04-18,61.91401751012339
2020-04-25,63.21387451733492
2020-05-02,59.064857498528895
2020-05-09,53.81341085319943
2020-05-16,48.1604169929111
2020-05-23,47.02361249116771
2020-05-30,44.765822014330816
2020-06-06,44.26145437614763
2020-06-13,44.77646909957594
2020-06-20,54.78047039589203
2020-06-27,77.43716359507485
2020-07-04,100.52886627712977
2020-07-11,122.95193200579106
2020-07-18,141.17669992108318
2020-07-25,141.83438558679612
2020-08-01,133.73925457371251
2020-08-08,114.22466833158282
2020-08-15,110.13892541937636
2020-08-22,92.81490091582151
2020-08-29,89.18089862044378
2020-09-05,88.40305299267877
2020-09-12,72.82271684983922
2020-09-19,85.9025089722531
2020-09-26,92.89338514419984
2020-10-03,91.56006586907505
2020-10-10,102.18768215831967
2020-10-17,118.01868110807294
2020-10-24,145.58276799795001
2020-10-31,169.9363023827696
2020-11-07,232.23239815197508
2020-11-14,309.6202809524868
2020-11-21,385.27026
2020-11-28,624.2166
2020-12-05,840.94635
2020-12-12,446.62888
