dates,US
2020-01-25,
2020-02-01,0.0018252146134493871
2020-02-08,0.0012168097422995913
2020-02-15,0.0006084048711497956
2020-02-22,0.0006084048711497956
2020-02-29,0.0027378219201740807
2020-03-07,0.1149885206473114
2020-03-14,0.7857548910899611
2020-03-21,7.01399555705042
2020-03-28,30.072540173627683
2020-04-04,59.75083399075029
2020-04-11,67.77660684852282
2020-04-18,60.567921732704455
2020-04-25,62.93248726442814
2020-05-02,58.565357099314916
2020-05-09,53.760479629409396
2020-05-16,47.78868161663858
2020-05-23,47.093883253785506
2020-05-30,44.75487072665011
2020-06-06,44.34511004593074
2020-06-13,44.847044064629316
2020-06-20,54.71445846737228
2020-06-27,77.27776151883359
2020-07-04,100.84767042961228
2020-07-11,123.54695196977556
2020-07-18,140.9923532451248
2020-07-25,141.54661008274232
2020-08-01,134.43861597309922
2020-08-08,114.6201314978302
2020-08-15,110.3238805002059
2020-08-22,92.70873426580587
2020-08-29,88.77235474946669
2020-09-05,88.13383383719497
2020-09-12,73.19962366751652
2020-09-19,85.97156292512861
2020-09-26,93.59487596063556
2020-10-03,91.68965610662994
2020-10-10,103.36220776207438
2020-10-17,118.12363094834629
2020-10-24,146.196040108069
2020-10-31,170.8285281263108
2020-11-07,243.42370155433997
2020-11-14,312.6665641423338
2020-11-21,363.80877340875014
2020-11-28,349.0208846105832
2020-12-05,409.7448621927375
2020-12-12,454.381398171949
2020-12-19,460.0006255618885
2020-12-26,404.0109504845863
2021-01-02,437.9203959781202
2021-01-09,517.9700500899122
2021-01-16,533.94934
2021-01-23,474.32592999999997
2021-01-30,541.994
2021-02-06,619.9209
