dates,US
2020-01-25,
2020-02-01,0.0018252146134493871
2020-02-08,0.0012168097422995913
2020-02-15,0.0006084048711497956
2020-02-22,0.0006084048711497956
2020-02-29,0.0027378219201740807
2020-03-07,0.1152927230828863
2020-03-14,0.7863632959611109
2020-03-21,7.021904820375368
2020-03-28,30.098093178215972
2020-04-04,59.7724323636761
2020-04-11,67.75409586829028
2020-04-18,60.65674884389232
2020-04-25,62.9814638565557
2020-05-02,58.61889672797609
2020-05-09,53.8197991043465
2020-05-16,47.80480434572405
2020-05-23,47.15076910923803
2020-05-30,44.83426756233518
2020-06-06,44.40108329407651
2020-06-13,45.09618585936516
2020-06-20,55.324688553135516
2020-06-27,78.45350393233058
2020-07-04,101.58931596754385
2020-07-11,123.26769413391779
2020-07-18,141.19038903068406
2020-07-25,141.24727488613658
2020-08-01,134.53748176466104
2020-08-08,114.71321744311614
2020-08-15,109.82346749368521
2020-08-22,92.5277338166388
2020-08-29,88.59409212221979
2020-09-05,88.34677554209742
2020-09-12,73.32252145148878
2020-09-19,86.37250173521632
2020-09-26,94.09924359881872
2020-10-03,92.10641344336756
2020-10-10,103.85319049309227
2020-10-17,118.80626121377637
2020-10-24,147.03655143756245
2020-10-31,172.12230108481083
2020-11-07,245.4183569244046
2020-11-14,315.13303748997515
2020-11-21,366.706301607601
2020-11-28,351.6893483754462
2020-12-05,414.85850513475157
2020-12-12,459.9772019743492
2020-12-19,462.92157734827873
2020-12-26,405.47142637778137
2021-01-02,442.33589433048974
2021-01-09,522.6495961563609
2021-01-16,476.3052677038319
2021-01-23,376.11011149852783
2021-01-30,323.16580700376585
2021-02-06,257.57580726215537
2021-02-13,201.79329404347962
2021-02-20,143.86949988079218
2021-02-27,145.95906641075618
2021-03-06,129.75511527498807
2021-03-13,115.16100342828236
2021-03-20,117.31627768433052
2021-03-27,131.91708198461887
2021-04-03,137.79062261069902
2021-04-10,145.2636596430319
2021-04-17,145.0631902379881
2021-04-24,126.91751495594544
2021-05-01,105.63977139722364
2021-05-08,89.64328632251762
2021-05-15,72.06738220230675
2021-05-22,54.919490908949754
2021-05-29,44.628322513450954
2021-06-05,31.09009732062571
2021-06-12,30.42724021350801
2021-06-19,24.56160885075283
2021-06-26,25.38569324872523
2021-07-03,28.15849844899041
2021-07-10,40.67794968507535
2021-07-17,66.96347373823112
2021-07-24,110.33300657327317
2021-07-31,166.60193948643317
2021-08-07,231.58170914228037
2021-08-14,274.00121777102197
2021-08-21,294.0
2021-08-28,324.0
2021-09-04,255.0
2021-09-11,45.0
