dates,US
2020-01-25,
2020-02-01,0.0018252146134493871
2020-02-08,0.0012168097422995913
2020-02-15,0.0006084048711497956
2020-02-22,0.0006084048711497956
2020-02-29,0.0027378219201740807
2020-03-07,0.1149885206473114
2020-03-14,0.7857548910899611
2020-03-21,7.01399555705042
2020-03-28,30.072540173627683
2020-04-04,57.351893583806635
2020-04-11,66.72680424335384
2020-04-18,61.89363594693987
2020-04-25,63.27106457522301
2020-05-02,59.01344728691672
2020-05-09,53.80458898256776
2020-05-16,48.19022883159745
2020-05-23,47.05950837856554
2020-05-30,44.783465755594165
2020-06-06,44.35484452386913
2020-06-13,44.916098017504815
2020-06-20,54.63354061950936
2020-06-27,77.3455986619668
2020-07-04,100.75336767458407
2020-07-11,123.35408762562108
2020-07-18,141.04650127865713
2020-07-25,141.55482354850278
2020-08-01,134.3455300278133
2020-08-08,114.01355184129385
2020-08-15,110.16660784101369
2020-08-22,93.16655893134607
2020-08-29,89.44585894182951
2020-09-05,88.15543221012081
2020-09-12,73.13726216822367
2020-09-19,85.88760305290994
2020-09-26,93.21553552347365
2020-10-03,91.89560115551416
2020-10-10,103.21010654428692
2020-10-17,118.19390171096407
2020-10-24,145.97549334227722
2020-10-31,170.69924209119145
2020-11-07,243.39358551321808
2020-11-14,312.1107862925385
2020-11-21,363.3521655529522
2020-11-28,348.46541096322335
2020-12-05,409.7293478685232
2020-12-12,454.19857250816847
2020-12-19,460.06724589527937
2020-12-26,453.02124000000003
2021-01-02,500.94693
2021-01-09,615.3267
2021-01-16,646.16315
