dates,US
2020-01-25,
2020-02-01,0.0018252146134493871
2020-02-08,0.0012168097422995913
2020-02-15,0.0006084048711497956
2020-02-22,0.0006084048711497956
2020-02-29,0.003042024355748979
2020-03-07,0.11894315230978506
2020-03-14,0.7711531741823662
2020-03-21,7.028293071522441
2020-03-28,30.83426307230722
2020-04-04,58.499345170795145
2020-04-11,67.20987771104679
2020-04-18,60.07876421630003
2020-04-25,62.77643141497822
2020-05-02,58.84948217414186
2020-05-09,53.40912581632039
2020-05-16,47.437936208420716
2020-05-23,46.70480833868522
2020-05-30,44.45766494709345
2020-06-06,45.8798113334061
2020-06-13,45.18501297055304
2020-06-20,55.64440531292475
2020-06-27,79.11271061022137
2020-07-04,102.00698591158822
2020-07-11,122.61152948038273
2020-07-18,137.78453856198752
2020-07-25,140.46121579261106
2020-08-01,133.27017441805606
2020-08-08,118.42539976443659
2020-08-15,119.28568425224242
2020-08-22,91.66927454344645
2020-08-29,88.63546365345799
2020-09-05,86.90059716337434
2020-09-12,74.30114068673323
2020-09-19,87.87404495721401
2020-09-26,89.13374724292967
2020-10-03,91.71155868199136
2020-10-10,101.07673486360017
2020-10-17,117.35186936929277
2020-10-24,146.5963705132856
2020-10-31,173.1940062653412
2020-11-07,232.73737419502942
2020-11-14,311.21764794169064
2020-11-21,366.34977635310725
2020-11-28,359.7205968770591
2020-12-05,415.7428216149676
2020-12-12,461.480874613396
2020-12-19,472.1559464825903
2020-12-26,419.64665147070053
2021-01-02,455.8905464548361
2021-01-09,527.9037806236105
2021-01-16,475.99437281467436
2021-01-23,372.8155991212517
2021-01-30,321.89089459627144
2021-02-06,259.37820669293666
2021-02-13,201.1544689287724
2021-02-20,143.976274935679
2021-02-27,147.1186860951677
2021-03-06,129.4566926856891
2021-03-13,115.26990790021816
2021-03-20,117.6761491656156
2021-03-27,131.3825983053138
2021-04-03,139.2377135967288
2021-04-10,145.9429436816707
2021-04-17,144.8986167203421
2021-04-24,126.83233827398445
2021-05-01,106.44073641009231
2021-05-08,89.5018321899753
2021-05-15,72.4412469956283
2021-05-22,55.143079699097306
2021-05-29,44.73053453180413
2021-06-05,31.19991439986825
2021-06-12,30.58329606295793
2021-06-19,24.724052951349826
2021-06-26,26.41207226635493
2021-07-03,27.444839535131713
2021-07-10,40.685554745964716
2021-07-17,67.43468331093663
2021-07-24,110.12280269029092
2021-07-31,167.68064132298173
2021-08-07,236.0324949771767
2021-08-14,276.1099490544272
2021-08-21,316.4608811212595
2021-08-28,331.5441504843697
2021-09-04,350.57718427098433
2021-09-11,312.96894136329524
2021-09-18,315.77490462903813
2021-09-25,255.3021982586686
2021-10-02,230.78500296350967
2021-10-09,203.29970450444654
2021-10-16,180.22077832468574
2021-10-23,155.29503915854974
2021-10-30,153.94285933241937
2021-11-06,156.01843255034692
2021-11-13,172.19439706204207
2021-11-20,197.04347721441317
2021-11-27,153.7764606001599
2021-12-04,257.9709662259672
2021-12-11,254.19733501266052
2021-12-18,276.5063248279813
2021-12-25,403.1631382966391
2022-01-01,852.7229278647258
2022-01-08,1486.7939669088466
2022-01-15,1709.2806316323092
2022-01-22,1539.4985598843757
2022-01-29,1128.6129385582326
2022-02-05,1146.0
2022-02-12,1255.0
2022-02-19,1522.0
2022-02-26,1717.0
